"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn","tenure"
"616","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",110,7002.95,"No",63
"617","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",95,1752.55,"Yes",18
"618","Female","Yes","No","No","One line","Fiber optic","Electronic check",74,450.9,"No",6
"619","Female","Yes","Yes","Yes","Two-plus lines","Fiber optic","Credit card",89,5348.65,"No",60
"620","Male","No","No","No","One line","DSL","Mailed check",50,49.65,"Yes",1
"621","Male","No","No","No","One line","None","Mailed check",19,19.2,"No",1
"622","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",100,3810.55,"No",38
"623","Male","No","No","No","Two-plus lines","DSL","Mailed check",49,1291.35,"No",26
"624","Female","No","Yes","Yes","One line","Fiber optic","Credit card",90,1208.35,"Yes",13
"625","Female","No","No","No","One line","Fiber optic","Electronic check",79,244.65,"Yes",3
"626","Female","No","Yes","Yes","Two-plus lines","DSL","Credit card",70,1652.1,"No",23
"627","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",93,3756.4,"No",40
"628","Male","No","No","No","One line","DSL","Credit card",45,492,"No",10
"629","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",78,2564.3,"Yes",32
"630","Female","No","No","Yes","Two-plus lines","Fiber optic","Electronic check",77,893,"No",11
"631","Female","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",67,3970.4,"No",59
"632","Male","Yes","Yes","No","One line","DSL","Bank transfer",66,1286.05,"No",19
"633","Male","No","Yes","No","Two-plus lines","DSL","Bank transfer",61,3169.55,"No",51
"634","Female","No","No","No","Two-plus lines","DSL","Mailed check",69,1108,"No",16
"635","Female","Yes","No","No","One line","Fiber optic","Electronic check",81,751.65,"Yes",9
"636","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",102,4273.45,"Yes",41
"637","Male","Yes","No","No","One line","Fiber optic","Electronic check",90,477.7,"Yes",5
"638","Male","No","No","Yes","One line","None","Mailed check",19,19.3,"No",1
"639","Male","No","No","Yes","One line","None","Mailed check",19,19.45,"Yes",1
"640","Female","No","No","No","One line","DSL","Electronic check",44,82.7,"No",1
"641","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",94,6081.4,"No",64
"642","Female","No","Yes","No","One line","DSL","Bank transfer",50,1815.3,"No",36
"643","Female","Yes","No","No","One line","Fiber optic","Electronic check",80,2665,"No",33
"644","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",94,362.2,"Yes",3
"645","Female","Yes","Yes","Yes","One line","Fiber optic","Bank transfer",71,3309.25,"Yes",46
"646","Male","No","Yes","Yes","One line","None","Mailed check",19,152.6,"No",7
"647","Male","No","No","No","None","DSL","Bank transfer",35,35.25,"Yes",1
"648","Female","No","Yes","No","Two-plus lines","None","Electronic check",25,780.2,"No",31
"649","Male","No","Yes","No","One line","Fiber optic","Credit card",75,75.35,"No",1
"650","Male","No","No","Yes","One line","DSL","Electronic check",55,449.75,"Yes",8
"651","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",99,4564.9,"No",46
"652","Male","Yes","Yes","No","One line","Fiber optic","Bank transfer",90,1938.9,"No",21
"653","Male","No","Yes","Yes","One line","None","Mailed check",20,40.25,"No",1
"654","Male","No","No","Yes","One line","None","Mailed check",21,460.2,"No",22
"655","Male","No","No","No","One line","Fiber optic","Electronic check",80,79.55,"Yes",1
"656","Male","No","No","No","One line","DSL","Mailed check",50,147.75,"No",2
"657","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85,2516.2,"No",29
"658","Female","No","Yes","Yes","One line","DSL","Electronic check",45,411.75,"No",9
"659","Female","Yes","No","No","Two-plus lines","DSL","Electronic check",70,3062.45,"No",43
"660","Female","Yes","No","No","None","DSL","Electronic check",25,25.2,"Yes",1
"661","Female","No","No","No","One line","Fiber optic","Electronic check",71,1247.75,"No",17
"662","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",96,2745.2,"Yes",28
"663","Male","No","No","No","None","DSL","Mailed check",24,38.45,"No",1
"664","Female","No","No","No","One line","None","Mailed check",21,187.35,"No",9
"665","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",85,2289.9,"No",26
"666","Female","No","No","Yes","One line","DSL","Credit card",61,125.95,"No",2
"667","Female","Yes","No","No","One line","Fiber optic","Electronic check",89,1496.9,"Yes",16
"668","Female","No","No","No","One line","DSL","Credit card",49,48.6,"Yes",1
"669","Male","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",60,867.1,"No",14
"670","Female","No","No","No","One line","None","Mailed check",20,38.15,"No",1
"671","Female","No","No","No","One line","DSL","Electronic check",54,654.5,"No",12
"672","Female","No","No","Yes","One line","DSL","Mailed check",46,221.7,"Yes",4
"673","Male","No","Yes","Yes","Two-plus lines","DSL","Electronic check",68,2000.2,"No",29
"674","Female","No","No","No","Two-plus lines","None","Mailed check",25,134.75,"No",5
"675","Male","No","No","No","None","DSL","Mailed check",29,29.15,"No",1
"676","Female","No","No","No","One line","Fiber optic","Electronic check",89,2383.6,"No",26
"677","Male","No","No","No","One line","Fiber optic","Electronic check",70,69.55,"Yes",1
"678","Male","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",108,4882.8,"No",45
"679","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74,74.2,"Yes",1
"680","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",104,5071.05,"Yes",48
"681","Female","Yes","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",85,1961.6,"No",22
"682","Male","No","No","No","One line","DSL","Mailed check",50,50.15,"No",1
"683","Female","Yes","No","No","One line","Fiber optic","Electronic check",70,70.15,"Yes",1
"684","Female","No","Yes","No","One line","DSL","Bank transfer",50,355.1,"No",7
"685","Female","No","No","No","One line","DSL","Electronic check",60,487.75,"No",8
"686","Male","No","No","Yes","One line","None","Mailed check",20,178.7,"No",8
"687","Male","No","No","No","Two-plus lines","DSL","Mailed check",65,1427.55,"No",21
"688","Female","No","No","No","None","DSL","Credit card",50,1277.5,"No",25
"689","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",70,70,"Yes",1
"690","Female","Yes","No","No","One line","None","Mailed check",20,91.45,"No",4
"691","Female","Yes","Yes","No","None","DSL","Electronic check",39,1637.4,"Yes",41
"692","Male","No","Yes","Yes","One line","Fiber optic","Credit card",75,74.6,"No",1
"693","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",98,4187.75,"Yes",42
"694","Male","No","No","No","One line","None","Credit card",20,402.85,"No",19
"695","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",74,834.2,"Yes",11
"696","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",80,4526.85,"No",56
"697","Male","No","Yes","No","One line","Fiber optic","Bank transfer",81,866.45,"Yes",10
"698","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",104,242.8,"Yes",2
"699","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",90,6143.15,"Yes",68
"700","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",91,1951,"Yes",21
"701","Female","No","No","No","One line","Fiber optic","Electronic check",89,1907.85,"Yes",21
"702","Female","No","No","No","One line","DSL","Credit card",44,43.95,"No",1
"703","Male","No","No","Yes","One line","Fiber optic","Electronic check",89,2001.5,"Yes",22
"704","Female","No","No","No","One line","None","Mailed check",20,19.5,"No",1
"705","Male","Yes","No","No","One line","Fiber optic","Electronic check",73,688.65,"Yes",9
"706","Male","No","No","No","One line","DSL","Electronic check",67,579,"No",8
"707","Female","No","Yes","No","One line","Fiber optic","Electronic check",80,2937.65,"No",36
"708","Female","No","No","No","One line","Fiber optic","Electronic check",70,70.5,"Yes",1
"709","Female","No","No","No","One line","Fiber optic","Electronic check",79,1111.65,"Yes",14
"710","Male","No","Yes","Yes","One line","DSL","Electronic check",45,333.65,"No",7
"711","Female","No","No","No","One line","None","Credit card",21,96.1,"No",4
"712","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",86,582.5,"Yes",6
"713","Male","No","No","No","Two-plus lines","DSL","Electronic check",61,61.15,"No",1
"714","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",93,5305.05,"No",57
"715","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",101,3270.25,"No",32
"716","Male","No","No","No","One line","None","Mailed check",20,20.15,"Yes",1
"717","Male","No","Yes","No","One line","Fiber optic","Mailed check",90,4952.95,"No",55
"718","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",90,90.1,"No",1
"719","Male","No","No","No","One line","DSL","Electronic check",44,44,"No",1
"720","Male","No","Yes","No","Two-plus lines","DSL","Electronic check",50,1441.95,"No",28
"721","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95,1021.55,"No",10
"722","Male","No","No","No","One line","DSL","Electronic check",45,45.3,"Yes",1
"723","Female","No","No","No","One line","None","Mailed check",20,20.4,"Yes",1
"724","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",79,1101.85,"Yes",13
"725","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",89,1448.6,"Yes",16
"726","Male","No","Yes","No","None","DSL","Mailed check",34,256.6,"No",7
"727","Female","Yes","Yes","No","One line","DSL","Electronic check",46,46,"Yes",1
"728","Female","Yes","No","No","One line","Fiber optic","Electronic check",73,73,"Yes",1
"729","Female","Yes","No","No","Two-plus lines","Fiber optic","Credit card",75,256.25,"Yes",3
"730","Female","No","No","No","One line","Fiber optic","Electronic check",80,164.5,"Yes",2
"731","Female","No","No","No","Two-plus lines","None","Electronic check",25,702,"No",27
"732","Male","Yes","No","No","Two-plus lines","DSL","Credit card",58,964.9,"No",16
"733","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",76,1893.95,"Yes",25
"734","Female","No","No","No","One line","None","Mailed check",19,157.65,"No",8
"735","Female","Yes","Yes","No","One line","Fiber optic","Bank transfer",71,3545.05,"No",50
"736","Female","No","No","No","One line","None","Mailed check",20,20.5,"Yes",1
"737","Male","No","No","No","One line","Fiber optic","Electronic check",100,6710.5,"Yes",67
"738","Female","No","No","No","One line","Fiber optic","Electronic check",82,81.95,"Yes",1
"739","Male","No","No","No","None","DSL","Credit card",34,600,"Yes",17
"740","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",100,1131.2,"Yes",11
"741","Female","No","No","No","One line","Fiber optic","Electronic check",84,84.3,"Yes",1
"742","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",103,970.45,"No",9
"743","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",81,81.05,"No",1
"744","Male","No","No","No","One line","None","Electronic check",19,348.8,"No",18
"745","Female","No","No","No","One line","Fiber optic","Mailed check",75,74.6,"Yes",1
"746","Male","No","No","No","Two-plus lines","Fiber optic","Mailed check",99,1301.7,"Yes",13
"747","Female","No","No","No","One line","Fiber optic","Electronic check",79,523.15,"Yes",6
"748","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",86,1601.5,"No",18
"749","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",107,1253.9,"Yes",11
"750","Female","No","No","No","None","DSL","Bank transfer",49,2076.2,"Yes",42
"751","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",109,6871.7,"No",63
"752","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",103,2496.7,"Yes",24
"753","Female","No","No","No","One line","Fiber optic","Electronic check",90,168.2,"Yes",1
"754","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",95,3624.3,"Yes",38
"755","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",104,4946.05,"No",47
"756","Male","No","No","No","One line","Fiber optic","Electronic check",86,308.1,"No",3
"757","Female","No","No","No","Two-plus lines","DSL","Mailed check",67,1801.1,"No",26
"758","Female","No","Yes","No","Two-plus lines","Fiber optic","Mailed check",101,4847.35,"No",48
"759","Female","No","No","No","Two-plus lines","DSL","Electronic check",64,370.25,"No",5
"760","Male","No","Yes","No","One line","DSL","Mailed check",56,55.7,"No",1
"761","Female","Yes","No","No","None","DSL","Bank transfer",59,1884.65,"No",31
"762","Female","No","No","No","None","DSL","Mailed check",36,35.9,"No",1
"763","Female","Yes","No","No","One line","Fiber optic","Electronic check",70,204.7,"Yes",2
"764","Female","Yes","Yes","No","Two-plus lines","DSL","Bank transfer",52,2838.55,"No",54
"765","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",86,1808.7,"Yes",20
"766","Male","No","No","No","One line","Fiber optic","Electronic check",70,324.6,"Yes",4
"767","Female","No","Yes","No","One line","None","Bank transfer",20,805.2,"No",41
"768","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",111,6953.4,"No",62
"769","Female","Yes","No","No","One line","Fiber optic","Bank transfer",76,503.6,"Yes",6
"770","Female","Yes","No","No","Two-plus lines","Fiber optic","Mailed check",79,1835.3,"No",23
"771","Male","No","Yes","Yes","One line","Fiber optic","Bank transfer",90,185.55,"Yes",2
"772","Female","No","No","Yes","Two-plus lines","Fiber optic","Credit card",93,1556.85,"No",16
"773","Female","No","Yes","Yes","One line","DSL","Mailed check",49,232.55,"No",4
"774","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",75,533.05,"No",7
"775","Female","No","No","No","One line","Fiber optic","Mailed check",69,418.4,"Yes",6
"776","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",104,4133.95,"No",39
"777","Male","No","No","No","One line","Fiber optic","Electronic check",75,151.75,"No",2
"778","Female","No","No","Yes","Two-plus lines","None","Mailed check",25,25.4,"No",1
"779","Male","No","No","No","One line","None","Mailed check",20,20.25,"No",1
"780","Male","No","No","No","One line","Fiber optic","Electronic check",108,318.6,"No",2
"781","Male","No","No","No","One line","DSL","Electronic check",46,45.6,"Yes",1
"782","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",89,2698.35,"Yes",30
"783","Male","No","Yes","No","One line","None","Bank transfer",20,697.65,"No",34
"784","Female","No","Yes","No","One line","DSL","Mailed check",55,1178.75,"No",21
"785","Female","No","Yes","Yes","None","DSL","Credit card",51,1561.5,"Yes",30
"786","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74,2217.15,"Yes",30
"787","Female","No","Yes","Yes","One line","None","Mailed check",19,275.9,"No",14
"788","Female","No","Yes","No","Two-plus lines","DSL","Bank transfer",68,350.3,"Yes",5
"789","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",73,4144.9,"No",56
"790","Male","No","No","No","Two-plus lines","DSL","Mailed check",51,50.75,"No",1
"791","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",95,3008.15,"No",31
"792","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",104,3121.1,"No",29
"793","Male","No","Yes","No","Two-plus lines","DSL","Credit card",56,1405.3,"No",25
"794","Male","No","No","No","None","DSL","Mailed check",35,106.85,"Yes",3
"795","Female","No","No","No","One line","DSL","Credit card",51,151.3,"Yes",2
"796","Male","No","No","No","One line","None","Mailed check",21,21.1,"No",1
"797","Female","No","No","No","One line","Fiber optic","Mailed check",90,1129.1,"Yes",12
"798","Male","No","No","No","One line","Fiber optic","Mailed check",71,1767.35,"Yes",24
"799","Male","No","No","No","One line","None","Mailed check",20,536.35,"No",26
"800","Female","No","No","No","One line","Fiber optic","Electronic check",75,1380.4,"No",18
"801","Female","Yes","No","No","One line","Fiber optic","Electronic check",84,609.65,"No",7
"802","Female","No","Yes","Yes","Two-plus lines","None","Electronic check",26,1077.5,"No",41
"803","Female","No","No","Yes","One line","Fiber optic","Bank transfer",105,3688.6,"No",35
"804","Female","No","No","No","One line","Fiber optic","Mailed check",85,420.45,"No",4
"805","Male","No","No","No","One line","DSL","Electronic check",46,45.65,"Yes",1
"806","Male","No","No","No","One line","Fiber optic","Mailed check",90,1682.4,"No",18
"807","Female","No","No","No","One line","DSL","Bank transfer",69,261.25,"Yes",3
"808","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",109,5431.9,"No",49
"809","Female","No","Yes","Yes","One line","DSL","Mailed check",61,1422.05,"Yes",23
"810","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",80,1111.85,"Yes",13
"811","Female","No","No","No","Two-plus lines","DSL","Credit card",55,1505.15,"No",27
"812","Male","No","No","No","One line","None","Credit card",20,95.55,"No",4
"813","Female","No","Yes","Yes","One line","None","Mailed check",20,406.05,"No",20
"814","Male","No","Yes","Yes","One line","None","Credit card",19,674.55,"No",34
"815","Male","No","No","No","One line","Fiber optic","Mailed check",70,1490.4,"No",21
"816","Female","No","No","No","One line","Fiber optic","Electronic check",96,1062.1,"Yes",11
"817","Male","No","No","No","One line","DSL","Electronic check",53,119.5,"No",2
"818","Female","Yes","No","No","Two-plus lines","DSL","Bank transfer",59,1718.95,"No",29
"819","Female","No","No","No","None","DSL","Credit card",40,293.3,"Yes",7
"820","Male","No","No","No","One line","Fiber optic","Bank transfer",80,1043.4,"No",13
"821","Female","No","Yes","No","Two-plus lines","DSL","Electronic check",79,1742.75,"Yes",22
"822","Female","No","No","Yes","One line","Fiber optic","Bank transfer",86,1269.55,"Yes",14
"823","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",79,3126.85,"No",39
"824","Male","Yes","Yes","No","One line","DSL","Credit card",59,1011.05,"No",17
"825","Female","No","Yes","No","One line","Fiber optic","Electronic check",85,4045.65,"Yes",47
"826","Male","No","No","No","One line","Fiber optic","Electronic check",85,84.85,"Yes",1
"827","Female","No","Yes","No","Two-plus lines","DSL","Bank transfer",61,2003.6,"No",32
"828","Female","No","Yes","No","Two-plus lines","Fiber optic","Mailed check",80,1928.7,"No",24
"829","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",85,546.95,"Yes",6
"830","Male","No","No","No","One line","DSL","Electronic check",51,50.8,"Yes",1
"831","Male","No","No","No","One line","DSL","Mailed check",51,354.05,"Yes",6
"832","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",90,3371.75,"No",37
"833","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",82,2070.05,"No",25
"834","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",99,5581.05,"No",56
"835","Female","No","No","No","None","DSL","Bank transfer",25,25.25,"No",1
"836","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",86,791.7,"No",9
"837","Male","No","No","No","One line","DSL","Mailed check",45,438.4,"Yes",9
"838","Female","No","No","No","One line","None","Credit card",19,19.4,"No",1
"839","Female","No","No","No","One line","None","Bank transfer",19,289.3,"Yes",14
"840","Female","No","No","No","One line","Fiber optic","Bank transfer",99,1956.4,"No",19
"841","Female","No","No","No","One line","DSL","Credit card",49,1233.25,"No",25
"842","Female","No","Yes","No","One line","DSL","Mailed check",55,55.2,"Yes",1
"843","Female","No","Yes","Yes","Two-plus lines","None","Mailed check",24,132.25,"No",5
"844","Female","Yes","No","No","None","DSL","Electronic check",44,263.05,"No",5
"845","Female","No","Yes","Yes","Two-plus lines","DSL","Mailed check",51,239.55,"Yes",4
"846","Male","No","No","Yes","Two-plus lines","Fiber optic","Mailed check",82,3141.7,"No",38
"847","Male","No","No","No","One line","None","Mailed check",19,415.4,"No",21
"848","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",106,2239.65,"Yes",21
"849","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",81,5135.35,"No",63
"850","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",79,79.15,"No",1
"851","Male","No","Yes","No","Two-plus lines","DSL","Credit card",67,979.5,"No",14
"852","Female","Yes","No","No","One line","Fiber optic","Bank transfer",70,115.95,"Yes",1
"853","Female","No","No","No","One line","Fiber optic","Electronic check",70,70.1,"No",1
"854","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",100,347.65,"Yes",3
"855","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",94,4914.9,"No",52
"856","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Credit card",94,5438.95,"No",57
"857","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",95,4060.55,"No",42
"858","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74,1096.25,"Yes",14
"859","Female","No","No","No","One line","DSL","Electronic check",78,571.05,"No",7
"860","Male","No","No","No","One line","DSL","Mailed check",49,49.05,"No",1
"861","Female","No","No","No","One line","DSL","Mailed check",45,45.4,"No",1
"862","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",75,270.7,"Yes",3
"863","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",99,6017.9,"No",60
"864","Female","Yes","No","No","Two-plus lines","DSL","Mailed check",49,179.85,"No",3
"865","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",96,5088.4,"No",53
"866","Female","No","Yes","Yes","Two-plus lines","DSL","Credit card",70,4300.45,"No",61
"867","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",117,5438.9,"Yes",46
"868","Female","No","Yes","No","One line","None","Bank transfer",20,52,"No",2
"869","Male","No","Yes","No","One line","Fiber optic","Bank transfer",77,2065.4,"No",26
"870","Female","No","No","No","One line","None","Mailed check",19,61.05,"No",3
"871","Male","No","No","No","None","DSL","Mailed check",34,298.45,"Yes",8
"872","Female","No","Yes","Yes","One line","Fiber optic","Credit card",89,1430.25,"Yes",15
"873","Female","No","Yes","Yes","One line","None","Electronic check",20,19.9,"Yes",1
"874","Female","No","No","No","None","DSL","Credit card",44,1183.8,"No",26
"875","Female","No","No","No","One line","None","Mailed check",19,144.95,"No",7
"876","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",90,2024.1,"No",22
"877","Female","No","No","No","One line","Fiber optic","Electronic check",75,233.65,"No",3
"878","Male","No","No","No","One line","None","Mailed check",20,342.4,"Yes",17
"879","Female","No","No","No","One line","DSL","Credit card",51,2832.75,"No",56
"880","Female","No","No","No","One line","None","Mailed check",20,41.2,"No",2
"881","Male","No","Yes","No","One line","Fiber optic","Mailed check",95,890.6,"Yes",9
"882","Female","No","No","No","None","DSL","Electronic check",24,812.5,"No",33
"883","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",94,4014.6,"No",42
"884","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",103,2890.65,"Yes",27
"885","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",95,3848,"No",40
"886","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",80,1861.5,"Yes",23
"887","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",104,6812.95,"No",65
"888","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85,3050.15,"Yes",35
"889","Male","No","No","No","One line","DSL","Bank transfer",80,4981.15,"No",61
"890","Male","No","No","No","One line","None","Mailed check",20,19.9,"No",1
"891","Male","No","No","No","Two-plus lines","Fiber optic","Mailed check",104,541.9,"Yes",5
"892","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",93,2248.05,"No",24
"893","Male","No","No","No","One line","None","Mailed check",20,208,"No",10
"894","Male","No","No","No","One line","DSL","Electronic check",44,81.25,"Yes",1
"895","Male","No","No","No","One line","DSL","Electronic check",66,546.45,"No",8
"896","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",91,3180.5,"No",34
"897","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",104,6578.55,"No",63
"898","Male","No","No","No","One line","Fiber optic","Electronic check",85,523.5,"Yes",6
"899","Male","No","No","No","One line","DSL","Mailed check",54,53.5,"Yes",1
"900","Female","No","No","No","One line","Fiber optic","Electronic check",95,5817.7,"No",61
"901","Male","No","No","Yes","One line","DSL","Electronic check",49,219.65,"Yes",4
"902","Female","No","No","No","One line","None","Mailed check",20,61.7,"No",3
"903","Male","Yes","Yes","Yes","One line","Fiber optic","Credit card",80,583.45,"Yes",7
"904","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",70,916.75,"Yes",13
"905","Male","No","Yes","Yes","One line","DSL","Mailed check",62,2924.05,"No",47
"906","Female","Yes","No","No","None","DSL","Electronic check",35,329.8,"Yes",9
"907","Male","No","No","Yes","One line","None","Mailed check",20,42.9,"No",2
"908","Male","Yes","No","No","One line","Fiber optic","Electronic check",75,74.7,"No",1
"909","Male","No","No","No","One line","None","Credit card",20,208.25,"No",10
"910","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",101,2391.8,"Yes",23
"911","Male","No","No","No","Two-plus lines","DSL","Electronic check",54,1127.35,"Yes",20
"912","Female","No","Yes","Yes","None","DSL","Electronic check",39,849.9,"No",21
"913","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",103,4009.2,"No",39
"914","Male","No","No","No","One line","None","Mailed check",20,109.8,"No",5
"915","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",98,560.6,"Yes",5
"916","Male","No","No","No","One line","Fiber optic","Electronic check",70,70.3,"Yes",1
"917","Male","No","Yes","No","Two-plus lines","DSL","Credit card",57,1074.65,"No",18
"918","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",101,6841.05,"No",67
"919","Female","No","No","No","One line","Fiber optic","Credit card",75,3545.1,"No",46
"920","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",98,1060.2,"Yes",10
"921","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",85,2613.4,"No",30
"922","Female","No","No","No","One line","DSL","Bank transfer",64,733.95,"No",11
"923","Female","Yes","No","No","None","DSL","Electronic check",56,2109.35,"Yes",37
"924","Male","Yes","Yes","Yes","Two-plus lines","Fiber optic","Credit card",75,775.3,"No",10
"925","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",92,452.7,"Yes",4
"926","Male","No","No","No","One line","None","Mailed check",20,19.75,"No",1
"927","Male","No","Yes","Yes","One line","None","Credit card",20,169.75,"No",8
"928","Male","No","No","No","One line","Fiber optic","Mailed check",74,74.3,"No",1
"929","Male","No","Yes","No","One line","Fiber optic","Electronic check",91,531,"Yes",5
"930","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",102,4086.3,"Yes",40
"931","Female","No","Yes","No","Two-plus lines","DSL","Credit card",74,1642.75,"No",22
"932","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",95,2852.4,"No",30
"933","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",76,2215.25,"No",29
"934","Male","No","Yes","No","None","DSL","Electronic check",44,2666.75,"No",60
"935","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",84,3273.55,"Yes",39
"936","Female","No","Yes","No","One line","None","Mailed check",21,20.65,"No",1
"937","Male","No","Yes","Yes","One line","DSL","Electronic check",45,169.65,"No",3
"938","Male","No","No","No","One line","Fiber optic","Electronic check",70,740,"Yes",10
"939","Female","No","Yes","Yes","One line","None","Mailed check",20,658.95,"Yes",33
"940","Female","No","Yes","No","None","DSL","Electronic check",35,68.75,"Yes",1
"941","Male","No","No","No","None","DSL","Electronic check",45,174.3,"Yes",3
"942","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",91,2989.6,"No",32
"943","Male","No","No","No","One line","Fiber optic","Electronic check",70,760.05,"No",10
"944","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",87,1975.85,"No",22
"945","Female","No","No","No","One line","Fiber optic","Bank transfer",98,567.45,"Yes",5
"946","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",70,69.55,"Yes",1
"947","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",96,1451.1,"No",15
"948","Male","No","No","No","One line","Fiber optic","Electronic check",80,79.5,"Yes",1
