"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn"
"655","Male","No","No","No","One line","Fiber optic","Electronic check",79.55,79.55,"Yes"
"656","Male","No","No","No","One line","DSL","Mailed check",50.5,147.75,"No"
"657","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",84.9,2516.2,"No"
"658","Female","No","Yes","Yes","One line","DSL","Electronic check",45.45,411.75,"No"
"659","Female","Yes","No","No","Two-plus lines","DSL","Electronic check",70.05,3062.45,"No"
"660","Female","Yes","No","No","None","DSL","Electronic check",25.2,25.2,"Yes"
"661","Female","No","No","No","One line","Fiber optic","Electronic check",71.1,1247.75,"No"
"662","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",95.9,2745.2,"Yes"
"663","Male","No","No","No","None","DSL","Mailed check",24.3,38.45,"No"
"664","Female","No","No","No","One line","None","Mailed check",20.55,187.35,"No"
"665","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",85.45,2289.9,"No"
"666","Female","No","No","Yes","One line","DSL","Credit card",61.2,125.95,"No"
"667","Female","Yes","No","No","One line","Fiber optic","Electronic check",89.15,1496.9,"Yes"
"668","Female","No","No","No","One line","DSL","Credit card",48.6,48.6,"Yes"
"669","Male","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",59.65,867.1,"No"
"670","Female","No","No","No","One line","None","Mailed check",19.95,38.15,"No"
"671","Female","No","No","No","One line","DSL","Electronic check",54.3,654.5,"No"
"672","Female","No","No","Yes","One line","DSL","Mailed check",46,221.7,"Yes"
"673","Male","No","Yes","Yes","Two-plus lines","DSL","Electronic check",67.6,2000.2,"No"
"674","Female","No","No","No","Two-plus lines","None","Mailed check",25.45,134.75,"No"
"675","Male","No","No","No","None","DSL","Mailed check",29.15,29.15,"No"
"676","Female","No","No","No","One line","Fiber optic","Electronic check",89.2,2383.6,"No"
"677","Male","No","No","No","One line","Fiber optic","Electronic check",69.55,69.55,"Yes"
"678","Male","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",107.75,4882.8,"No"
"679","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74.2,74.2,"Yes"
"680","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",103.7,5071.05,"Yes"
"681","Female","Yes","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",85.35,1961.6,"No"
"682","Male","No","No","No","One line","DSL","Mailed check",50.15,50.15,"No"
"683","Female","Yes","No","No","One line","Fiber optic","Electronic check",70.15,70.15,"Yes"
"684","Female","No","Yes","No","One line","DSL","Bank transfer",50.3,355.1,"No"
"685","Female","No","No","No","One line","DSL","Electronic check",60,487.75,"No"
"686","Male","No","No","Yes","One line","None","Mailed check",20.35,178.7,"No"
"687","Male","No","No","No","Two-plus lines","DSL","Mailed check",65.05,1427.55,"No"
"688","Female","No","No","No","None","DSL","Credit card",50.35,1277.5,"No"
"689","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",70,70,"Yes"
"690","Female","Yes","No","No","One line","None","Mailed check",20.05,91.45,"No"
"691","Female","Yes","Yes","No","None","DSL","Electronic check",39.3,1637.4,"Yes"
"692","Male","No","Yes","Yes","One line","Fiber optic","Credit card",74.6,74.6,"No"
"693","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",98.4,4187.75,"Yes"
"694","Male","No","No","No","One line","None","Credit card",20.5,402.85,"No"
"695","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",74.35,834.2,"Yes"
"696","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",79.8,4526.85,"No"
"697","Male","No","Yes","No","One line","Fiber optic","Bank transfer",80.85,866.45,"Yes"
"698","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",104.4,242.8,"Yes"
"699","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",89.95,6143.15,"Yes"
"700","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",90.8,1951,"Yes"
"701","Female","No","No","No","One line","Fiber optic","Electronic check",89.25,1907.85,"Yes"
"702","Female","No","No","No","One line","DSL","Credit card",43.95,43.95,"No"
"703","Male","No","No","Yes","One line","Fiber optic","Electronic check",89.4,2001.5,"Yes"
"704","Female","No","No","No","One line","None","Mailed check",19.5,19.5,"No"
"705","Male","Yes","No","No","One line","Fiber optic","Electronic check",72.85,688.65,"Yes"
"706","Male","No","No","No","One line","DSL","Electronic check",66.7,579,"No"
"707","Female","No","Yes","No","One line","Fiber optic","Electronic check",80.4,2937.65,"No"
"708","Female","No","No","No","One line","Fiber optic","Electronic check",70.5,70.5,"Yes"
"709","Female","No","No","No","One line","Fiber optic","Electronic check",79.25,1111.65,"Yes"
"710","Male","No","Yes","Yes","One line","DSL","Electronic check",44.75,333.65,"No"
"711","Female","No","No","No","One line","None","Credit card",20.55,96.1,"No"
"712","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",86.5,582.5,"Yes"
"713","Male","No","No","No","Two-plus lines","DSL","Electronic check",61.15,61.15,"No"
"714","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",92.85,5305.05,"No"
"715","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",100.6,3270.25,"No"
"716","Male","No","No","No","One line","None","Mailed check",20.15,20.15,"Yes"
"717","Male","No","Yes","No","One line","Fiber optic","Mailed check",89.7,4952.95,"No"
"718","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",90.1,90.1,"No"
"719","Male","No","No","No","One line","DSL","Electronic check",44,44,"No"
"720","Male","No","Yes","No","Two-plus lines","DSL","Electronic check",49.9,1441.95,"No"
"721","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95.25,1021.55,"No"
"722","Male","No","No","No","One line","DSL","Electronic check",45.3,45.3,"Yes"
"723","Female","No","No","No","One line","None","Mailed check",20.4,20.4,"Yes"
"724","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",78.95,1101.85,"Yes"
"725","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",89.05,1448.6,"Yes"
"726","Male","No","Yes","No","None","DSL","Mailed check",34.2,256.6,"No"
"727","Female","Yes","Yes","No","One line","DSL","Electronic check",46,46,"Yes"
"728","Female","Yes","No","No","One line","Fiber optic","Electronic check",73,73,"Yes"
"729","Female","Yes","No","No","Two-plus lines","Fiber optic","Credit card",75.05,256.25,"Yes"
"730","Female","No","No","No","One line","Fiber optic","Electronic check",79.75,164.5,"Yes"
"731","Female","No","No","No","Two-plus lines","None","Electronic check",25.15,702,"No"
"732","Male","Yes","No","No","Two-plus lines","DSL","Credit card",58.4,964.9,"No"
"733","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",75.5,1893.95,"Yes"
"734","Female","No","No","No","One line","None","Mailed check",19.05,157.65,"No"
"735","Female","Yes","Yes","No","One line","Fiber optic","Bank transfer",70.65,3545.05,"No"
"736","Female","No","No","No","One line","None","Mailed check",20.5,20.5,"Yes"
"737","Male","No","No","No","One line","Fiber optic","Electronic check",99.5,6710.5,"Yes"
"738","Female","No","No","No","One line","Fiber optic","Electronic check",81.95,81.95,"Yes"
"739","Male","No","No","No","None","DSL","Credit card",33.5,600,"Yes"
"740","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",99.55,1131.2,"Yes"
"741","Female","No","No","No","One line","Fiber optic","Electronic check",84.3,84.3,"Yes"
"742","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",103.1,970.45,"No"
"743","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",81.05,81.05,"No"
"744","Male","No","No","No","One line","None","Electronic check",19,348.8,"No"
"745","Female","No","No","No","One line","Fiber optic","Mailed check",74.6,74.6,"Yes"
"746","Male","No","No","No","Two-plus lines","Fiber optic","Mailed check",99,1301.7,"Yes"
"747","Female","No","No","No","One line","Fiber optic","Electronic check",79.3,523.15,"Yes"
"748","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",85.6,1601.5,"No"
"749","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",106.7,1253.9,"Yes"
"750","Female","No","No","No","None","DSL","Bank transfer",49.05,2076.2,"Yes"
"751","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",108.75,6871.7,"No"
"752","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",102.95,2496.7,"Yes"
"753","Female","No","No","No","One line","Fiber optic","Electronic check",90.4,168.2,"Yes"
"754","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",94.65,3624.3,"Yes"
"755","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",103.85,4946.05,"No"
"756","Male","No","No","No","One line","Fiber optic","Electronic check",86.05,308.1,"No"
"757","Female","No","No","No","Two-plus lines","DSL","Mailed check",67.45,1801.1,"No"
"758","Female","No","Yes","No","Two-plus lines","Fiber optic","Mailed check",100.85,4847.35,"No"
"759","Female","No","No","No","Two-plus lines","DSL","Electronic check",64,370.25,"No"
"760","Male","No","Yes","No","One line","DSL","Mailed check",55.7,55.7,"No"
"761","Female","Yes","No","No","None","DSL","Bank transfer",59.45,1884.65,"No"
"762","Female","No","No","No","None","DSL","Mailed check",35.9,35.9,"No"
"763","Female","Yes","No","No","One line","Fiber optic","Electronic check",70.4,204.7,"Yes"
"764","Female","Yes","Yes","No","Two-plus lines","DSL","Bank transfer",51.65,2838.55,"No"
"765","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",86.5,1808.7,"Yes"
"766","Male","No","No","No","One line","Fiber optic","Electronic check",69.75,324.6,"Yes"
"767","Female","No","Yes","No","One line","None","Bank transfer",19.5,805.2,"No"
"768","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",111.15,6953.4,"No"
"769","Female","Yes","No","No","One line","Fiber optic","Bank transfer",76.45,503.6,"Yes"
"770","Female","Yes","No","No","Two-plus lines","Fiber optic","Mailed check",79.35,1835.3,"No"
"771","Male","No","Yes","Yes","One line","Fiber optic","Bank transfer",89.55,185.55,"Yes"
"772","Female","No","No","Yes","Two-plus lines","Fiber optic","Credit card",92.7,1556.85,"No"
"773","Female","No","Yes","Yes","One line","DSL","Mailed check",49.4,232.55,"No"
"774","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",75.4,533.05,"No"
"775","Female","No","No","No","One line","Fiber optic","Mailed check",69.25,418.4,"Yes"
"776","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",104.4,4133.95,"No"
"777","Male","No","No","No","One line","Fiber optic","Electronic check",74.95,151.75,"No"
"778","Female","No","No","Yes","Two-plus lines","None","Mailed check",25.4,25.4,"No"
"779","Male","No","No","No","One line","None","Mailed check",20.25,20.25,"No"
"780","Male","No","No","No","One line","Fiber optic","Electronic check",107.95,318.6,"No"
"781","Male","No","No","No","One line","DSL","Electronic check",45.6,45.6,"Yes"
"782","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",89.2,2698.35,"Yes"
"783","Male","No","Yes","No","One line","None","Bank transfer",20.35,697.65,"No"
"784","Female","No","Yes","No","One line","DSL","Mailed check",54.7,1178.75,"No"
"785","Female","No","Yes","Yes","None","DSL","Credit card",51.2,1561.5,"Yes"
"786","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",73.9,2217.15,"Yes"
"787","Female","No","Yes","Yes","One line","None","Mailed check",19.35,275.9,"No"
"788","Female","No","Yes","No","Two-plus lines","DSL","Bank transfer",67.95,350.3,"Yes"
"789","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",73.1,4144.9,"No"
"790","Male","No","No","No","Two-plus lines","DSL","Mailed check",50.75,50.75,"No"
"791","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",95,3008.15,"No"
"792","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",104.1,3121.1,"No"
"793","Male","No","Yes","No","Two-plus lines","DSL","Credit card",55.55,1405.3,"No"
"794","Male","No","No","No","None","DSL","Mailed check",35.45,106.85,"Yes"
"795","Female","No","No","No","One line","DSL","Credit card",50.7,151.3,"Yes"
"796","Male","No","No","No","One line","None","Mailed check",21.1,21.1,"No"
"797","Female","No","No","No","One line","Fiber optic","Mailed check",89.8,1129.1,"Yes"
"798","Male","No","No","No","One line","Fiber optic","Mailed check",70.95,1767.35,"Yes"
"799","Male","No","No","No","One line","None","Mailed check",20.15,536.35,"No"
"800","Female","No","No","No","One line","Fiber optic","Electronic check",75.4,1380.4,"No"
"801","Female","Yes","No","No","One line","Fiber optic","Electronic check",84.35,609.65,"No"
"802","Female","No","Yes","Yes","Two-plus lines","None","Electronic check",26.2,1077.5,"No"
"803","Female","No","No","Yes","One line","Fiber optic","Bank transfer",105.35,3688.6,"No"
"804","Female","No","No","No","One line","Fiber optic","Mailed check",85.3,420.45,"No"
"805","Male","No","No","No","One line","DSL","Electronic check",45.65,45.65,"Yes"
"806","Male","No","No","No","One line","Fiber optic","Mailed check",89.95,1682.4,"No"
"807","Female","No","No","No","One line","DSL","Bank transfer",68.65,261.25,"Yes"
"808","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",108.75,5431.9,"No"
"809","Female","No","Yes","Yes","One line","DSL","Mailed check",61.15,1422.05,"Yes"
"810","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",79.75,1111.85,"Yes"
"811","Female","No","No","No","Two-plus lines","DSL","Credit card",54.9,1505.15,"No"
"812","Male","No","No","No","One line","None","Credit card",20.05,95.55,"No"
"813","Female","No","Yes","Yes","One line","None","Mailed check",20.05,406.05,"No"
"814","Male","No","Yes","Yes","One line","None","Credit card",19.45,674.55,"No"
"815","Male","No","No","No","One line","Fiber optic","Mailed check",69.7,1490.4,"No"
"816","Female","No","No","No","One line","Fiber optic","Electronic check",96,1062.1,"Yes"
"817","Male","No","No","No","One line","DSL","Electronic check",53.45,119.5,"No"
"818","Female","Yes","No","No","Two-plus lines","DSL","Bank transfer",58.55,1718.95,"No"
"819","Female","No","No","No","None","DSL","Credit card",40.1,293.3,"Yes"
"820","Male","No","No","No","One line","Fiber optic","Bank transfer",79.95,1043.4,"No"
"821","Female","No","Yes","No","Two-plus lines","DSL","Electronic check",79.2,1742.75,"Yes"
"822","Female","No","No","Yes","One line","Fiber optic","Bank transfer",85.9,1269.55,"Yes"
"823","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",78.85,3126.85,"No"
"824","Male","Yes","Yes","No","One line","DSL","Credit card",59.1,1011.05,"No"
"825","Female","No","Yes","No","One line","Fiber optic","Electronic check",85.3,4045.65,"Yes"
"826","Male","No","No","No","One line","Fiber optic","Electronic check",84.85,84.85,"Yes"
"827","Female","No","Yes","No","Two-plus lines","DSL","Bank transfer",60.85,2003.6,"No"
"828","Female","No","Yes","No","Two-plus lines","Fiber optic","Mailed check",79.65,1928.7,"No"
"829","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",84.8,546.95,"Yes"
"830","Male","No","No","No","One line","DSL","Electronic check",50.8,50.8,"Yes"
"831","Male","No","No","No","One line","DSL","Mailed check",51,354.05,"Yes"
"832","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",90,3371.75,"No"
"833","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",81.95,2070.05,"No"
"834","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",98.6,5581.05,"No"
"835","Female","No","No","No","None","DSL","Bank transfer",25.25,25.25,"No"
"836","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85.5,791.7,"No"
"837","Male","No","No","No","One line","DSL","Mailed check",45.15,438.4,"Yes"
"838","Female","No","No","No","One line","None","Credit card",19.4,19.4,"No"
"839","Female","No","No","No","One line","None","Bank transfer",19.4,289.3,"Yes"
"840","Female","No","No","No","One line","Fiber optic","Bank transfer",99.15,1956.4,"No"
"841","Female","No","No","No","One line","DSL","Credit card",49.3,1233.25,"No"
"842","Female","No","Yes","No","One line","DSL","Mailed check",55.2,55.2,"Yes"
"843","Female","No","Yes","Yes","Two-plus lines","None","Mailed check",24.3,132.25,"No"
"844","Female","Yes","No","No","None","DSL","Electronic check",44.4,263.05,"No"
"845","Female","No","Yes","Yes","Two-plus lines","DSL","Mailed check",50.85,239.55,"Yes"
"846","Male","No","No","Yes","Two-plus lines","Fiber optic","Mailed check",81.85,3141.7,"No"
"847","Male","No","No","No","One line","None","Mailed check",19.4,415.4,"No"
"848","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",105.85,2239.65,"Yes"
"849","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",81.05,5135.35,"No"
"850","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",79.15,79.15,"No"
"851","Male","No","Yes","No","Two-plus lines","DSL","Credit card",66.6,979.5,"No"
"852","Female","Yes","No","No","One line","Fiber optic","Bank transfer",70.2,115.95,"Yes"
"853","Female","No","No","No","One line","Fiber optic","Electronic check",70.1,70.1,"No"
"854","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",99.6,347.65,"Yes"
"855","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",94.4,4914.9,"No"
"856","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Credit card",94,5438.95,"No"
"857","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",95.1,4060.55,"No"
"858","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74.3,1096.25,"Yes"
"859","Female","No","No","No","One line","DSL","Electronic check",78.5,571.05,"No"
"860","Male","No","No","No","One line","DSL","Mailed check",49.05,49.05,"No"
"861","Female","No","No","No","One line","DSL","Mailed check",45.4,45.4,"No"
"862","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",75.1,270.7,"Yes"
"863","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",99,6017.9,"No"
"864","Female","Yes","No","No","Two-plus lines","DSL","Mailed check",48.75,179.85,"No"
"865","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",95.65,5088.4,"No"
"866","Female","No","Yes","Yes","Two-plus lines","DSL","Credit card",70.45,4300.45,"No"
"867","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",117.45,5438.9,"Yes"
"868","Female","No","Yes","No","One line","None","Bank transfer",19.85,52,"No"
"869","Male","No","Yes","No","One line","Fiber optic","Bank transfer",76.55,2065.4,"No"
"870","Female","No","No","No","One line","None","Mailed check",19.4,61.05,"No"
"871","Male","No","No","No","None","DSL","Mailed check",33.9,298.45,"Yes"
"872","Female","No","Yes","Yes","One line","Fiber optic","Credit card",89.45,1430.25,"Yes"
"873","Female","No","Yes","Yes","One line","None","Electronic check",19.9,19.9,"Yes"
"874","Female","No","No","No","None","DSL","Credit card",44.45,1183.8,"No"
"875","Female","No","No","No","One line","None","Mailed check",19.3,144.95,"No"
"876","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",90,2024.1,"No"
"877","Female","No","No","No","One line","Fiber optic","Electronic check",74.55,233.65,"No"
"878","Male","No","No","No","One line","None","Mailed check",19.7,342.4,"Yes"
"879","Female","No","No","No","One line","DSL","Credit card",50.55,2832.75,"No"
"880","Female","No","No","No","One line","None","Mailed check",20.3,41.2,"No"
"881","Male","No","Yes","No","One line","Fiber optic","Mailed check",94.85,890.6,"Yes"
"882","Female","No","No","No","None","DSL","Electronic check",24.15,812.5,"No"
"883","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",94.4,4014.6,"No"
"884","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",103.3,2890.65,"Yes"
"885","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",94.9,3848,"No"
"886","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",80.25,1861.5,"Yes"
"887","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",104.25,6812.95,"No"
"888","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",84.75,3050.15,"Yes"
"889","Male","No","No","No","One line","DSL","Bank transfer",80.4,4981.15,"No"
"890","Male","No","No","No","One line","None","Mailed check",19.9,19.9,"No"
"891","Male","No","No","No","Two-plus lines","Fiber optic","Mailed check",104.1,541.9,"Yes"
"892","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",93,2248.05,"No"
"893","Male","No","No","No","One line","None","Mailed check",20.25,208,"No"
"894","Male","No","No","No","One line","DSL","Electronic check",44.35,81.25,"Yes"
"895","Male","No","No","No","One line","DSL","Electronic check",66.25,546.45,"No"
"896","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",91,3180.5,"No"
"897","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",104.35,6578.55,"No"
"898","Male","No","No","No","One line","Fiber optic","Electronic check",84.85,523.5,"Yes"
"899","Male","No","No","No","One line","DSL","Mailed check",53.5,53.5,"Yes"
"900","Female","No","No","No","One line","Fiber optic","Electronic check",95.3,5817.7,"No"
"901","Male","No","No","Yes","One line","DSL","Electronic check",49.35,219.65,"Yes"
"902","Female","No","No","No","One line","None","Mailed check",20,61.7,"No"
"903","Male","Yes","Yes","Yes","One line","Fiber optic","Credit card",80.45,583.45,"Yes"
"904","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",70.15,916.75,"Yes"
"905","Male","No","Yes","Yes","One line","DSL","Mailed check",61.9,2924.05,"No"
"906","Female","Yes","No","No","None","DSL","Electronic check",34.7,329.8,"Yes"
"907","Male","No","No","Yes","One line","None","Mailed check",20.4,42.9,"No"
"908","Male","Yes","No","No","One line","Fiber optic","Electronic check",74.7,74.7,"No"
"909","Male","No","No","No","One line","None","Credit card",19.75,208.25,"No"
"910","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",101.05,2391.8,"Yes"
"911","Male","No","No","No","Two-plus lines","DSL","Electronic check",54.45,1127.35,"Yes"
"912","Female","No","Yes","Yes","None","DSL","Electronic check",39.2,849.9,"No"
"913","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",102.6,4009.2,"No"
"914","Male","No","No","No","One line","None","Mailed check",20.25,109.8,"No"
"915","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",98.25,560.6,"Yes"
"916","Male","No","No","No","One line","Fiber optic","Electronic check",70.3,70.3,"Yes"
"917","Male","No","Yes","No","Two-plus lines","DSL","Credit card",56.8,1074.65,"No"
"918","Male","Yes","No","No","Two-plus lines","Fiber optic","Credit card",101.4,6841.05,"No"
"919","Female","No","No","No","One line","Fiber optic","Credit card",75.45,3545.1,"No"
"920","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",98.1,1060.2,"Yes"
"921","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",84.75,2613.4,"No"
"922","Female","No","No","No","One line","DSL","Bank transfer",64.05,733.95,"No"
"923","Female","Yes","No","No","None","DSL","Electronic check",55.8,2109.35,"Yes"
"924","Male","Yes","Yes","Yes","Two-plus lines","Fiber optic","Credit card",75.2,775.3,"No"
"925","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",92.5,452.7,"Yes"
"926","Male","No","No","No","One line","None","Mailed check",19.75,19.75,"No"
"927","Male","No","Yes","Yes","One line","None","Credit card",19.65,169.75,"No"
"928","Male","No","No","No","One line","Fiber optic","Mailed check",74.3,74.3,"No"
"929","Male","No","Yes","No","One line","Fiber optic","Electronic check",91,531,"Yes"
"930","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",101.85,4086.3,"Yes"
"931","Female","No","Yes","No","Two-plus lines","DSL","Credit card",73.65,1642.75,"No"
"932","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",95,2852.4,"No"
"933","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",76,2215.25,"No"
"934","Male","No","Yes","No","None","DSL","Electronic check",44.3,2666.75,"No"
"935","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",83.75,3273.55,"Yes"
"936","Female","No","Yes","No","One line","None","Mailed check",20.65,20.65,"No"
"937","Male","No","Yes","Yes","One line","DSL","Electronic check",44.8,169.65,"No"
"938","Male","No","No","No","One line","Fiber optic","Electronic check",70,740,"Yes"
"939","Female","No","Yes","Yes","One line","None","Mailed check",19.55,658.95,"Yes"
"940","Female","No","Yes","No","None","DSL","Electronic check",35.1,68.75,"Yes"
"941","Male","No","No","No","None","DSL","Electronic check",44.55,174.3,"Yes"
"942","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",90.65,2989.6,"No"
"943","Male","No","No","No","One line","Fiber optic","Electronic check",70.2,760.05,"No"
"944","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",86.8,1975.85,"No"
"945","Female","No","No","No","One line","Fiber optic","Bank transfer",98.15,567.45,"Yes"
"946","Female","Yes","Yes","No","One line","Fiber optic","Electronic check",69.55,69.55,"Yes"
"947","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95.7,1451.1,"No"
"948","Male","No","No","No","One line","Fiber optic","Electronic check",79.5,79.5,"Yes"
"949","Female","Yes","No","No","Two-plus lines","Fiber optic","Mailed check",75.45,158.4,"Yes"
"950","Male","Yes","No","No","None","DSL","Electronic check",54.6,1803.7,"No"
"951","Male","No","No","Yes","Two-plus lines","Fiber optic","Bank transfer",99.25,3777.15,"Yes"
"952","Male","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",109.45,6572.85,"No"
"953","Female","No","Yes","No","One line","Fiber optic","Electronic check",76.1,2093.4,"No"
"954","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",76.45,1233.4,"Yes"
"955","Male","No","Yes","Yes","None","DSL","Bank transfer",30.2,469.65,"No"
"956","Female","No","No","Yes","None","DSL","Mailed check",24.7,24.7,"No"
"957","Female","No","No","No","One line","None","Credit card",19.95,19.95,"No"
"958","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",84.05,186.05,"No"
"959","Male","No","No","No","Two-plus lines","None","Mailed check",24.05,24.05,"Yes"
"960","Male","No","No","No","One line","Fiber optic","Electronic check",70.2,237.95,"Yes"
"961","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",99.5,3762,"Yes"
"962","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Credit card",91.05,4370.75,"No"
"963","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",69,506.9,"Yes"
"964","Female","No","No","No","One line","None","Credit card",19.55,19.55,"No"
"965","Female","No","No","No","None","DSL","Electronic check",50.6,1073.3,"No"
"966","Male","No","No","Yes","One line","DSL","Bank transfer",70.45,70.45,"No"
"967","Male","No","Yes","No","None","DSL","Electronic check",30.4,1621.35,"No"
"968","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",111.5,4915.15,"No"
"969","Male","No","No","No","None","DSL","Electronic check",24.75,66.95,"Yes"
"970","Female","No","No","No","One line","None","Mailed check",20.35,20.35,"No"
"971","Male","No","No","No","One line","Fiber optic","Electronic check",101.4,3143.65,"No"
"972","Female","No","Yes","No","One line","Fiber optic","Electronic check",96.55,1901.65,"No"
"973","Female","No","No","No","One line","DSL","Bank transfer",43.8,540.95,"No"
"974","Male","No","No","No","None","DSL","Credit card",30.5,208.7,"Yes"
"975","Male","No","No","No","One line","DSL","Credit card",49,49,"No"
"976","Female","No","No","No","One line","Fiber optic","Credit card",70.05,266.9,"Yes"
"977","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",77.15,77.15,"Yes"
"978","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",100.15,1164.3,"Yes"
"979","Male","No","No","No","One line","Fiber optic","Electronic check",81,340.85,"Yes"
"980","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",107.5,7713.55,"No"
"981","Male","No","Yes","No","Two-plus lines","DSL","Bank transfer",72.75,2447.45,"No"
